# FITOPT: [DEFAULT] NONE
# FITOPT:	 NONE
# ----------------------------------------
NVAR: 34
VARNAMES:  CID IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPECERR HOST_LOGMASS HOST_LOGMASS_ERR HOST_LOGsSFR HOST_LOGsSFR_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB PIa DISTCORR
# VERSION_SNANA		 = v10_45j
# TABLE NAME: FITRES
#

SN: at2016cyt 150 1 NULL 1 0.0297 0.0001 0.0307 0.0001 298.7013 0.0000 10.8730 0.0010 -17.6100 0.0500 105.7751 102.8451 -99.0000 57580.5 0.1 -1.80756e+00 8.84336e-02 -9.93413e-02 3.37745e-02 1.61363e+01 5.70391e-02 6.39226e-03 3.35817e-04 -8.50472e-05 -1.65760e-06 -8.74947e-06 26 37.8335 0.0805 1.0000 -0.0154
SN: at2016ews 150 1 NULL 1 0.0461 0.0000 0.0464 0.0000 91.4540 0.0000 10.6600 0.0050 -9.7280 0.0502 63.0530 62.7386 -99.0000 57620.0 0.2 9.53010e-01 2.21170e-01 -1.46928e-01 3.63016e-02 1.67736e+01 4.72116e-02 3.56335e-03 1.54947e-04 1.37627e-03 -1.17564e-05 -4.61798e-06 6 13.0890 0.0700 1.0000 -0.0183
SN: at2016gmg 150 1 NULL 1 0.0484 0.0001 0.0485 0.0001 27.1996 0.0000 11.3970 0.0010 -10.9110 0.0500 41.7591 34.4235 -99.0000 57662.2 0.2 -1.78598e+00 2.80990e-01 -4.53021e-02 4.59479e-02 1.75312e+01 8.51940e-02 1.77337e-03 1.39150e-04 1.20613e-03 -6.29939e-06 -4.89398e-06 8 25.0526 0.0029 1.0000 -0.0182
SN: at2016hns 150 1 NULL 1 0.0371 0.0001 0.0373 0.0001 63.8062 0.0000 10.6090 0.0170 -8.6140 0.0528 82.0228 77.4447 -99.0000 57697.5 0.2 -1.01152e+00 2.16280e-01 -9.15891e-02 3.48881e-02 1.66569e+01 5.26762e-02 3.96455e-03 1.92347e-04 1.26236e-04 -4.19414e-06 -5.15656e-06 6 11.9516 0.0631 1.0000 -0.0174
SN: at2016htn 150 1 NULL 1 0.0523 0.0001 0.0528 0.0001 127.4259 0.0000 10.7400 0.0010 -10.4830 0.0500 57.3282 48.6478 -99.0000 57701.3 0.3 -1.41796e-01 3.64750e-01 7.94175e-02 3.64798e-02 1.77982e+01 4.26827e-02 1.38619e-03 5.44941e-05 1.99471e-03 -5.56538e-06 -1.68420e-06 6 5.5118 0.5978 1.0000 -0.0178
SN: at2017cfc 150 1 NULL 1 0.0250 0.0002 0.0249 0.0002 -6.4084 0.0000 10.9330 0.0000 -10.9110 0.0500 118.7780 109.1371 -99.0000 57837.6 0.1 -7.98144e-01 1.16760e-01 -2.56285e-03 3.21246e-02 1.59073e+01 4.32360e-02 7.87035e-03 3.13412e-04 1.59331e-04 -4.64193e-06 -8.19688e-06 10 15.0828 0.1787 1.0000 -0.0123
SN: at2017lm 150 1 NULL 1 0.0300 0.0001 0.0300 0.0001 0.0000 0.0000 10.1100 0.0130 -10.1500 0.0517 131.7570 118.8543 -99.0000 57778.7 0.4 1.10857e+00 3.65610e-01 -1.49803e-02 3.51460e-02 1.61523e+01 5.16370e-02 6.29723e-03 2.99492e-04 1.72266e-03 -1.67091e-05 -8.20358e-06 4 3.3243 0.6501 1.0000 -0.0151
SN: at2017oz 150 1 NULL 1 0.0564 0.0000 0.0561 0.0000 -79.0334 0.0000 10.0360 0.0140 -10.4830 0.0519 45.5967 45.2884 -99.0000 57788.0 0.3 -7.25354e-02 3.25430e-01 -2.19863e-02 3.64494e-02 1.75326e+01 4.01518e-02 1.76973e-03 6.54468e-05 1.09355e-03 -6.45728e-06 -2.00434e-06 6 9.7324 0.1364 1.0000 -0.0174
SN: at2017wb 150 1 NULL 1 0.0309 0.0001 0.0311 0.0001 55.2296 0.0000 9.7110 0.0140 -8.7330 0.0519 101.0095 87.9609 -99.0000 57790.2 0.2 1.32374e+00 1.63820e-01 6.83738e-02 3.35034e-02 1.63671e+01 3.98458e-02 5.16861e-03 1.89685e-04 -1.00696e-04 -6.70693e-06 -5.31172e-06 14 20.1072 0.1268 1.0000 -0.0155
SN: at2017zd 150 1 NULL 1 0.0305 0.0001 0.0291 0.0001 -405.5100 0.0000 10.1130 0.0010 -20.7740 0.0500 95.8244 91.3566 -99.0000 57793.1 0.1 2.52090e-01 1.20910e-01 -4.63278e-02 3.41205e-02 1.59034e+01 5.73312e-02 7.91656e-03 4.18026e-04 -1.15667e-04 -4.56142e-06 -1.09775e-05 9 21.5987 0.0102 1.0000 -0.0148
SN: atlas16bwu 150 1 NULL 1 0.0722 0.0001 0.0723 0.0001 45.9973 0.0000 10.1940 0.0170 -10.0920 0.0528 49.4266 36.6553 -99.0000 57609.3 0.5 1.21060e-01 3.16200e-01 3.41844e-02 3.92342e-02 1.82154e+01 4.53337e-02 9.52431e-04 3.97677e-05 -7.20945e-04 -1.13539e-07 -1.31592e-06 8 11.2057 0.2619 1.0000 -0.0275
SN: atlas16cxr 150 1 NULL 1 0.0152 0.0010 0.0154 0.0010 53.5810 0.0000 8.2710 0.0020 -7.9970 0.0500 112.9380 107.0227 -99.0000 57666.6 0.1 -1.46321e-02 1.08660e-01 4.99296e-02 3.69464e-02 1.53438e+01 7.80130e-02 1.30682e-02 9.38988e-04 -2.84248e-04 7.74970e-07 -2.73544e-05 8 17.0486 0.0480 1.0000 0.0007
SN: atlas16dqf 150 1 NULL 1 0.0202 0.0002 0.0202 0.0002 0.0000 0.0000 6.7680 0.0300 -10.9110 0.0583 142.3647 16.7962 -99.0000 57703.6 0.2 8.69280e-01 2.47730e-01 1.08740e-01 5.93659e-02 1.57012e+01 8.75381e-02 9.48224e-03 7.64511e-04 1.19727e-03 -3.37321e-05 -4.17045e-05 4 7.5530 0.1094 1.0000 -0.0085
SN: atlas17ajs 150 1 NULL 1 0.0337 0.0000 0.0339 0.0000 75.6032 0.0000 10.1250 0.0120 -12.1980 0.0514 99.6990 73.1128 -99.0000 57782.0 0.8 1.53912e+00 3.46490e-01 1.79210e-01 3.58404e-02 1.70952e+01 4.13091e-02 2.64576e-03 1.00663e-04 -1.75359e-03 7.69140e-06 -3.05293e-06 4 0.9031 0.9700 1.0000 -0.0166
SN: atlas17bas 150 1 NULL 1 0.0233 0.0000 0.0233 0.0000 -5.6278 0.0000 10.3230 0.0010 -10.4750 0.0500 149.8699 143.7587 -99.0000 57813.2 0.1 8.36520e-01 1.34910e-01 2.97942e-02 3.31759e-02 1.53669e+01 3.94684e-02 1.29303e-02 4.70039e-04 2.01676e-04 -1.32931e-05 -1.33100e-05 6 11.4648 0.1196 1.0000 -0.0110
SN: css160428 150 1 NULL 1 0.0308 0.0001 0.0311 0.0001 97.7844 0.0000 6.0000 0.1000 -7.7680 0.1118 136.0325 105.8747 -99.0000 57517.4 0.2 8.53620e-01 1.62940e-01 -4.56410e-02 3.18267e-02 1.61838e+01 3.54015e-02 6.11917e-03 1.99522e-04 -7.96738e-05 -3.09814e-06 -5.48363e-06 10 20.0090 0.0452 1.0000 -0.0155
SN: gaia16agf 150 1 NULL 1 0.0255 0.0000 0.0252 0.0000 -104.3570 0.0000 6.0000 0.1000 -10.0290 0.1118 104.1911 90.1433 -99.0000 57455.9 0.2 1.35386e+00 1.54640e-01 3.68536e-02 3.42358e-02 1.59591e+01 5.15010e-02 7.50522e-03 3.56004e-04 5.69235e-05 -7.30438e-06 -9.58650e-06 10 12.0128 0.2842 1.0000 -0.0125
SN: gaia16bba 150 1 NULL 1 0.0294 0.0001 0.0299 0.0001 142.5974 0.0000 8.6510 0.0230 -9.8500 0.0550 151.4341 123.7785 -99.0000 57626.1 0.8 2.84770e-01 2.00000e-01 -8.97188e-02 3.34032e-02 1.60026e+01 5.61287e-02 7.22759e-03 3.73641e-04 -1.24774e-03 3.01878e-05 -9.84270e-06 4 4.9774 0.4186 1.0000 -0.0151
SN: iptf17dz 150 1 NULL 1 0.0928 0.0100 0.0928 0.0100 0.0000 0.0000 9.1370 0.1380 -10.4200 0.1468 24.3414 20.3280 12.3290 57766.9 0.8 1.42940e+00 6.73210e-01 4.94961e-02 7.14555e-02 1.89570e+01 1.39440e-01 4.79990e-04 6.16447e-05 8.24738e-03 -2.11623e-05 -3.89317e-06 10 6.1639 0.8622 1.0000 -0.0251
SN: masterotj08 150 1 NULL 1 0.0315 0.0001 0.0315 0.0001 0.0000 0.0000 6.0000 0.1000 -19.0540 0.1118 107.5348 94.0994 -99.0000 57803.9 1.6 -6.56479e-02 2.60820e-01 -3.45483e-02 3.87482e-02 1.63164e+01 8.42187e-02 5.41636e-03 4.20138e-04 -3.46840e-03 7.02478e-05 -1.29289e-05 2 4.4317 0.2185 1.0000 -0.0157
SN: ps15adh 150 1 NULL 1 0.1038 0.0000 0.1039 0.0000 30.9035 0.0000 10.9300 0.0020 -999.0000 -999.0000 28.5326 22.3427 21.2916 57136.6 0.8 -5.97238e-01 4.79670e-01 -1.46165e-01 4.44266e-02 1.87974e+01 5.61258e-02 5.60434e-04 2.89710e-05 7.08188e-03 -4.44487e-06 -1.10124e-06 14 11.9694 0.6814 1.0000 -0.0337
SN: ps15aii 150 1 NULL 1 0.0476 0.0000 0.0478 0.0000 51.9257 0.0000 10.8750 0.0120 -10.2320 0.0514 89.2792 64.9190 -99.0000 57159.1 0.2 3.12130e-01 1.47940e-01 -5.17541e-02 3.30204e-02 1.71354e+01 3.82351e-02 2.55333e-03 8.99174e-05 2.89234e-04 -2.47269e-06 -2.50488e-06 9 9.3515 0.4991 1.0000 -0.0182
SN: ps15atx 150 1 NULL 1 0.0729 0.0003 0.0731 0.0003 31.0550 0.0000 10.5640 0.0010 -9.6000 0.0500 31.7402 28.8552 -99.0000 57192.9 0.0 -1.43309e+00 4.43190e-01 -1.71796e-01 5.49736e-02 1.82038e+01 8.17318e-02 9.62756e-04 7.24742e-05 2.53843e-03 -6.76679e-06 -2.91535e-06 7 16.4273 0.0367 1.0000 -0.0276
SN: ps15bdr 150 1 NULL 1 0.0709 0.0000 0.0713 0.0000 99.9328 0.0000 11.0790 0.0010 -109.9380 0.0500 42.3695 40.3185 -99.0000 57215.8 0.2 -2.28163e+00 2.55030e-01 -4.32147e-03 4.30717e-02 1.83734e+01 4.30470e-02 8.23297e-04 3.26418e-05 -1.37389e-03 -1.20908e-06 -1.14253e-06 14 9.4995 0.8500 1.0000 -0.0273
SN: ps15bjg 150 1 NULL 1 0.0677 0.0000 0.0676 0.0000 -8.5809 0.0000 11.6080 0.0010 -42.4600 0.0500 26.1206 23.3780 -99.0000 57239.2 0.2 -9.17023e-01 2.68490e-01 -1.35199e-01 4.71446e-02 1.80662e+01 6.76810e-02 1.09185e-03 6.80618e-05 2.18565e-04 -4.12271e-06 -2.39324e-06 8 20.5086 0.0150 1.0000 -0.0266
SN: ps15bsq 150 1 NULL 1 0.0331 0.0000 0.0340 0.0000 249.6200 0.0000 10.9610 0.0130 -9.7280 0.0517 103.3973 96.5956 -99.0000 57262.8 0.1 5.74840e-01 1.43020e-01 -5.44115e-02 3.31433e-02 1.62970e+01 4.12759e-02 5.51859e-03 2.09798e-04 2.54282e-04 -6.91178e-06 -5.76285e-06 8 9.3085 0.3170 1.0000 -0.0166
SN: ps15bzz 150 1 NULL 1 0.0791 0.0000 0.0795 0.0000 105.3948 0.0000 9.5920 0.0530 -9.1160 0.0729 40.0723 36.0478 27.7957 57284.5 0.6 -9.78464e-01 2.52530e-01 -1.82757e-02 3.19243e-02 1.83684e+01 4.14449e-02 8.28518e-04 3.16264e-05 -9.72571e-04 1.26763e-06 -8.38126e-07 21 25.0029 0.2470 1.0000 -0.0292
SN: ps15cku 150 1 NULL 1 0.0222 0.0001 0.0236 0.0001 398.8563 0.0000 9.5760 0.0110 -9.8610 0.0512 155.9404 133.2107 -99.0000 57319.2 0.3 8.88300e-01 1.84650e-01 -1.61282e-03 3.35305e-02 1.57362e+01 3.90030e-02 9.20451e-03 3.30655e-04 3.27434e-05 -8.99395e-06 -9.34919e-06 8 10.4932 0.3120 1.0000 -0.0112
SN: ps15coh 150 1 NULL 1 0.0180 0.0001 0.0184 0.0001 126.7395 0.0000 8.6300 0.0020 -8.2800 0.0500 201.6773 169.2399 -99.0000 57329.4 0.1 1.35534e+00 1.02550e-01 -3.36665e-02 3.78819e-02 1.49347e+01 8.22619e-02 1.91682e-02 1.45230e-03 -8.85599e-04 1.31984e-05 -4.30315e-05 18 11.6735 0.8991 1.0000 -0.0062
