Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[99]    6.08    0.07    1.1   4.04   5.36   6.05   6.78   8.41    226   1.02
outl_loglike[100]   6.01    0.08   1.16   3.78   5.25   5.99   6.73   8.53    196   1.02
outl_loglike[101]   5.79    0.09   1.28   3.29   5.01    5.8   6.58   8.38    224   1.02
outl_loglike[102]   6.06    0.08   1.13   3.97   5.32   6.02   6.76   8.53    195   1.02
outl_loglike[103]   6.04    0.06    1.1   3.95   5.31   6.02   6.75   8.34    292   1.01
lp__               32.67    6.37  76.52 -78.69  -25.5  17.05  79.06 207.03    144   1.03

Samples were drawn using NUTS at Wed Mar 18 19:16:54 2020.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
