Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[68]    6.06  3.9e-3   0.99   4.15   5.39   6.05   6.72   8.01  64414    1.0
outl_loglike[69]    5.95  4.1e-3   1.04   3.88   5.28   5.96   6.65   7.96  64727    1.0
outl_loglike[70]    6.05  3.9e-3   0.99   4.14   5.39   6.05   6.71   7.99  63814    1.0
outl_loglike[71]    5.63  4.9e-3    1.3   2.98   4.94   5.71   6.45   7.82  69819    1.0
outl_loglike[72]    5.98  4.0e-3   1.03   3.94   5.31   5.99   6.66   7.97  65220    1.0
outl_loglike[73]    5.99  4.0e-3   1.02   3.99   5.32   5.99   6.67   7.96  65375    1.0
outl_loglike[74]    5.37  6.2e-3   1.52   2.39   4.65    5.5   6.28   7.68  59986    1.0
outl_loglike[75]    5.17  5.3e-3   1.33   2.39   4.39   5.24   6.05   7.51  63809    1.0
outl_loglike[76]    6.09  3.7e-3   0.97   4.23   5.43   6.08   6.74   8.03  70263    1.0
outl_loglike[77]    5.99  3.9e-3   1.03   3.97   5.32    6.0   6.67   7.97  67903    1.0
outl_loglike[78]    6.08  3.7e-3   0.97   4.21   5.42   6.07   6.73   8.01  67926    1.0
outl_loglike[79]    6.09  3.8e-3   0.98   4.19   5.43   6.09   6.75   8.03  65240    1.0
outl_loglike[80]     6.1  3.8e-3   0.97   4.25   5.44   6.09   6.75   8.03  63878    1.0
outl_loglike[81]    6.04  3.9e-3   0.99   4.13   5.38   6.04   6.71    8.0  65340    1.0
outl_loglike[82]    5.65  4.2e-3   1.16   3.27   4.93   5.69   6.42    7.8  75764    1.0
outl_loglike[83]    6.12  3.6e-3   0.96   4.28   5.46    6.1   6.76   8.04  71941    1.0
outl_loglike[84]    5.88  4.2e-3   1.08   3.73    5.2    5.9   6.59   7.91  66769    1.0
outl_loglike[85]    6.04  3.9e-3    1.0    4.1   5.38   6.04    6.7    8.0  67175    1.0
outl_loglike[86]    4.94  8.2e-3   1.86    1.2   4.18   5.16   6.01   7.52  51370    1.0
outl_loglike[87]     6.1  3.7e-3   0.97   4.24   5.44   6.09   6.75   8.03  67882    1.0
outl_loglike[88]    6.04  3.9e-3   0.99   4.13   5.37   6.03    6.7   7.99  65218    1.0
outl_loglike[89]    6.03  4.0e-3   1.01   4.07   5.36   6.03    6.7   7.99  64541    1.0
outl_loglike[90]    5.99  3.9e-3   1.01    4.0   5.32   5.99   6.66   7.96  67923    1.0
outl_loglike[91]    5.97  4.1e-3   1.03   3.95    5.3   5.97   6.65   7.96  62272    1.0
outl_loglike[92]    5.95  4.0e-3   1.04    3.9   5.27   5.96   6.64   7.96  66576    1.0
outl_loglike[93]    6.07  3.9e-3   0.99   4.15   5.41   6.06   6.73   8.01  64657    1.0
outl_loglike[94]    6.04  3.9e-3    1.0    4.1   5.37   6.03   6.71   7.99  65684    1.0
outl_loglike[95]    6.05  3.7e-3   0.99   4.15   5.38   6.04   6.71    8.0  70632    1.0
outl_loglike[96]    5.94  4.0e-3   1.04   3.89   5.27   5.95   6.63   7.94  67493    1.0
outl_loglike[97]    5.36  5.5e-3   1.37   2.44    4.6   5.46   6.26   7.69  61427    1.0
outl_loglike[98]    5.93  4.2e-3   1.05   3.84   5.24   5.94   6.63   7.94  60941    1.0
outl_loglike[99]    6.02  3.9e-3   1.01   4.07   5.35   6.02   6.69   7.99  67994    1.0
outl_loglike[100]   5.91  4.1e-3   1.06   3.81   5.23   5.93   6.62   7.93  64881    1.0
outl_loglike[101]   5.75  4.2e-3   1.12   3.46   5.05   5.78    6.5   7.84  70436    1.0
outl_loglike[102]   6.11  3.8e-3   0.97   4.25   5.45   6.09   6.75   8.03  66060    1.0
outl_loglike[103]   6.04  3.7e-3   0.99   4.13   5.37   6.03   6.69   7.98  72610    1.0
lp__              179.75     0.3  24.06 135.34 163.62 178.89 194.73 229.22   6539    1.0

Samples were drawn using NUTS at Wed Mar 18 14:32:21 2020.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
