Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[76]    4.77  3.2e-3   0.59   3.74   4.35   4.73   5.14   6.03  33626    1.0
outl_loglike[77]    4.77  3.2e-3   0.59   3.76   4.35   4.73   5.15   6.04  32917    1.0
outl_loglike[78]    4.48  3.5e-3   0.66   3.25   4.03   4.46    4.9   5.84  34404    1.0
outl_loglike[79]    4.67  3.3e-3   0.61   3.59   4.25   4.64   5.06   5.97  33816    1.0
outl_loglike[80]     4.7  3.3e-3   0.61   3.59   4.27   4.66   5.09   5.99  33516    1.0
outl_loglike[81]     2.5  5.9e-3   1.03   0.31   1.86   2.55    3.2   4.38  30671    1.0
outl_loglike[82]    4.39  3.6e-3   0.67   3.11   3.93   4.36   4.82   5.77  35502    1.0
outl_loglike[83]    4.76  3.3e-3   0.59   3.73   4.34   4.71   5.13   6.02  32466    1.0
outl_loglike[84]    4.07  4.0e-3   0.76   2.55   3.57   4.08   4.56   5.55  36072    1.0
outl_loglike[85]    4.54  3.5e-3   0.66   3.28    4.1   4.52   4.96   5.88  35131    1.0
outl_loglike[86]    4.68  3.4e-3   0.61   3.58   4.26   4.65   5.07   5.98  33487    1.0
outl_loglike[87]    4.31  3.7e-3   0.69   2.98   3.86    4.3   4.76   5.72  35186    1.0
outl_loglike[88]    4.73  3.3e-3    0.6   3.69   4.31   4.69   5.11   6.02  32860    1.0
outl_loglike[89]     4.8  3.2e-3   0.58   3.79   4.38   4.76   5.17   6.06  33212    1.0
outl_loglike[90]    4.33  3.8e-3   0.71   2.92   3.87   4.32   4.79   5.76  35514    1.0
outl_loglike[91]    4.79  3.2e-3   0.59   3.76   4.37   4.74   5.16   6.05  33423    1.0
outl_loglike[92]     4.7  3.4e-3   0.61   3.59   4.28   4.67    5.1    6.0  32988    1.0
outl_loglike[93]    4.73  3.3e-3    0.6   3.66   4.31   4.69   5.11   6.02  33015    1.0
outl_loglike[94]    4.63  3.4e-3   0.62    3.5    4.2    4.6   5.02   5.94  32768    1.0
outl_loglike[95]    4.57  3.4e-3   0.63   3.43   4.13   4.53   4.97   5.88  34243    1.0
outl_loglike[96]    4.78  3.3e-3   0.59   3.74   4.36   4.73   5.15   6.04  32743    1.0
outl_loglike[97]    0.57  8.7e-3   1.48  -2.76  -0.31   0.73   1.61   3.06  29042    1.0
outl_loglike[98]    4.43  3.7e-3   0.69   3.08   3.98   4.42   4.88   5.82  35965    1.0
outl_loglike[99]    4.45  3.6e-3   0.69   3.11    4.0   4.44   4.89   5.83  35939    1.0
