# FITOPT: ->FITOPT000
# FITOPT:	 NONE
# ----------------------------------------
NVAR: 34
VARNAMES:  CID IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB PIa DISTCORR
# VERSION_SNANA		 = v10_45j
# TABLE NAME: FITRES
#

SN: 2006kf 5 1 NULL 1 0.0208 0.0000 0.0207 0.0000 -37.2583 0.0000 10.9840 0.4490 85.7493 85.7493 81.9233 54041.2 0.1 -2.00306e+00 6.04179e-02 -4.32738e-02 4.06239e-02 1.56847e+01 1.31200e-01 9.50304e-03 1.14795e-03 -4.43311e-04 8.27559e-06 -4.09082e-05 52 51.1611 0.5461 1.0000 0.0056
SN: 2006lu 5 1 NULL 1 0.0555 0.0000 0.0546 0.0000 -274.1290 0.0000 11.2350 0.0570 81.9232 74.3294 70.7107 54035.7 0.3 2.58800e-01 7.61818e-02 -1.46746e-01 3.24408e-02 1.70934e+01 9.00516e-02 2.64001e-03 2.18964e-04 -5.89592e-04 3.53695e-06 -5.81412e-06 40 55.4518 0.0654 1.0000 -0.0124
SN: 2006ob 5 1 NULL 1 0.0582 0.0000 0.0590 0.0000 211.6860 0.0000 11.7420 0.0480 70.7107 67.2673 64.0185 54063.2 0.1 -2.01234e+00 8.68538e-02 -2.67797e-02 2.61418e-02 1.79605e+01 2.83250e-02 1.18790e-03 3.09903e-05 -2.13702e-04 -1.76146e-07 -5.69349e-07 40 34.9840 0.7341 1.0000 -0.0125
SN: 2006py 5 1 NULL 1 0.0566 0.0000 0.0572 0.0000 180.0928 0.0000 9.9000 0.4000 74.3294 70.7107 58.1238 54070.9 0.2 7.77722e-02 2.19900e-01 1.38848e-02 2.54517e-02 1.76465e+01 4.07926e-02 1.58618e-03 5.95949e-05 7.83823e-04 -1.02286e-06 -1.07610e-06 22 31.3320 0.1149 1.0000 -0.0124
SN: 2007a 5 1 NULL 1 0.0159 0.0000 0.0163 0.0000 101.3118 0.0000 10.8320 0.1510 89.4427 85.7493 81.9232 54113.3 0.1 4.95000e-01 1.30000e-01 1.20100e-01 2.47998e-02 1.54353e+01 4.62425e-02 1.19415e-02 5.08600e-04 2.79520e-04 -6.34727e-06 -9.33763e-06 25 33.9189 0.1371 1.0000 0.0071
SN: 2007ai 5 1 NULL 1 0.0321 0.0000 0.0329 0.0000 238.7766 0.0000 10.8270 3.6320 74.3294 67.2673 64.0185 54173.6 0.2 1.03510e+00 1.07500e-01 1.90700e-01 4.61699e-02 1.69486e+01 1.56300e-01 2.98773e-03 4.30064e-04 -1.22304e-03 1.02577e-05 -1.81082e-05 42 51.6862 0.1708 1.0000 -0.0020
SN: 2007bc 5 1 NULL 1 0.0219 0.0000 0.0209 0.0000 -287.4200 0.0000 10.9070 0.4540 85.7493 85.7492 78.0869 54200.6 0.1 -1.17812e+00 5.03882e-02 4.31515e-02 2.30243e-02 1.56531e+01 2.51056e-02 9.78564e-03 2.26275e-04 -1.33096e-04 -4.24961e-08 -4.09114e-06 31 28.7751 0.6306 1.0000 0.0054
SN: 2007ca 5 1 NULL 1 0.0152 0.0000 0.0145 0.0000 -182.5030 0.0000 9.5060 4.3560 92.8477 92.8477 85.7493 54227.8 0.1 6.00000e-01 4.16026e-02 2.30100e-01 2.38078e-02 1.56624e+01 4.21667e-02 9.68240e-03 3.76035e-04 -2.07763e-04 1.93935e-06 -6.62500e-06 44 54.9828 0.1463 1.0000 0.0076
SN: 2007hx 5 1 NULL 1 0.0789 0.0000 0.0792 0.0000 85.4157 0.0000 -9.0000 -9.0000 67.2673 67.2672 64.0185 54354.5 0.3 1.76900e-01 1.40700e-01 1.50400e-01 2.51704e-02 1.90570e+01 2.66980e-02 4.40802e-04 1.08392e-05 -4.07147e-04 1.12477e-07 -2.00277e-07 37 53.9224 0.0357 1.0000 -0.0326
SN: 2007nq 5 1 NULL 1 0.0424 0.0000 0.0431 0.0000 202.3644 0.0000 11.9060 0.0660 81.9232 78.0869 74.3294 54398.3 0.1 -1.89808e+00 5.51584e-02 -2.20284e-02 2.38226e-02 1.71640e+01 2.67308e-02 2.46169e-03 6.06068e-05 -1.97954e-04 1.02595e-07 -1.07906e-06 60 58.6317 0.5622 1.0000 -0.0071
