Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[77]    2.24    0.02   2.87  -6.44   1.69   3.12   3.99   4.88  24703    1.0
outl_loglike[78]    2.74  4.3e-3   0.98   0.54   2.17   2.85   3.43   4.35  51756    1.0
outl_loglike[79]    4.07  2.4e-3   0.54   2.89   3.75   4.11   4.44   5.02  51928    1.0
outl_loglike[80]     4.5  2.9e-3   0.46   3.44   4.27   4.54   4.79    5.3  24548    1.0
outl_loglike[81]    4.35  4.3e-3   0.62   2.83   4.12   4.45   4.72   5.24  20550    1.0
outl_loglike[82]    4.64  2.0e-3   0.35   3.97   4.41   4.63   4.86   5.35  31434    1.0
outl_loglike[83]    4.12  6.5e-3   0.96   1.81   3.86   4.33   4.65    5.2  22072    1.0
outl_loglike[84]    4.54  2.0e-3   0.39   3.72    4.3   4.55    4.8    5.3  39434    1.0
outl_loglike[85]    3.87  8.4e-3   1.32   0.73   3.55    4.2   4.59   5.17  24696    1.0
outl_loglike[86]    4.33  4.6e-3   0.62    2.8    4.1   4.43   4.71   5.23  18437    1.0
outl_loglike[87]     4.3  4.4e-3   0.66   2.64   4.05   4.41    4.7   5.23  22873    1.0
outl_loglike[88]    2.48    0.02   3.01  -6.74   2.12   3.43   4.17   4.94  20065    1.0
outl_loglike[89]     4.0  7.1e-3   1.08    1.4   3.73   4.26    4.6   5.16  23067    1.0
outl_loglike[90]    4.39  2.7e-3   0.51   3.19   4.12   4.44   4.72   5.24  36337    1.0
outl_loglike[91]    4.41  2.5e-3   0.46   3.35   4.17   4.44    4.7   5.22  33105    1.0
outl_loglike[92]    4.61  2.2e-3   0.37   3.88   4.38    4.6   4.84   5.33  27330    1.0
outl_loglike[93]    4.35  2.5e-3   0.51   3.17   4.08    4.4   4.69   5.22  41051    1.0
outl_loglike[94]    3.68  2.8e-3   0.64   2.26    3.3   3.74   4.13   4.79  53741    1.0
outl_loglike[95]    4.65  1.9e-3   0.35   3.98   4.42   4.64   4.87   5.36  32183    1.0
outl_loglike[96]    4.61  2.1e-3   0.36   3.91   4.39   4.61   4.84   5.34  28554    1.0
outl_loglike[97]    4.37  3.8e-3   0.55   3.02   4.14   4.44   4.71   5.23  20769    1.0
outl_loglike[98]    4.38  4.0e-3   0.58   2.93   4.16   4.47   4.73   5.25  21058    1.0
outl_loglike[99]    4.46  3.6e-3    0.5   3.24   4.23   4.51   4.77   5.28  19411    1.0
outl_loglike[100]   4.65  1.9e-3   0.34    4.0   4.42   4.64   4.87   5.36  33657    1.0
outl_loglike[101]    4.4  3.6e-3   0.56    3.0   4.16   4.48   4.75   5.27  24311    1.0
