Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[127]   3.83  3.2e-3   0.61   2.32   3.56   3.95   4.23   4.73  36418    1.0
outl_loglike[128]   3.81  8.9e-3   1.01   1.81   3.64    4.0   4.26   4.73  13104    1.0
outl_loglike[129]   3.75  9.5e-3   1.11    1.6   3.59   3.97   4.24   4.72  13857    1.0
outl_loglike[130]   3.55  3.8e-3   0.75   1.72   3.19    3.7   4.06   4.62  39069    1.0
outl_loglike[131]   4.16  2.2e-3   0.35   3.41   3.94   4.16   4.38   4.83  26720    1.0
outl_loglike[132]   3.47    0.01   1.29    1.1   3.33   3.72    4.0    4.5  13105    1.0
outl_loglike[133]    3.4  4.2e-3   0.86    1.3   2.99   3.57   3.99   4.59  40983    1.0
outl_loglike[134]   3.87  5.5e-3   0.81   2.04   3.67   4.02   4.28   4.76  21354    1.0
outl_loglike[135]   3.84  3.2e-3    0.6   2.34   3.56   3.95   4.24   4.73  34896    1.0
outl_loglike[136]   3.74    0.01   1.18   1.44   3.58   3.97   4.24   4.73  12643    1.0
outl_loglike[137]   4.09  3.0e-3   0.42   3.11   3.88   4.13   4.36   4.81  19240    1.0
outl_loglike[138]    4.1  2.8e-3   0.41   3.15   3.89   4.13   4.36   4.81  22141    1.0
outl_loglike[139]   3.62    0.01   1.19   1.41   3.47   3.85   4.12   4.61  11426    1.0
outl_loglike[140]   3.59    0.01   1.22   1.35   3.44   3.81   4.09   4.58  12115    1.0
outl_loglike[141]   3.98  2.9e-3    0.5   2.76   3.75   4.05    4.3   4.78  30994    1.0
outl_loglike[142]   3.79  9.3e-3   1.06    1.7   3.62   3.99   4.26   4.74  12824    1.0
outl_loglike[143]    3.8  7.9e-3   0.97   1.77   3.63   3.99   4.26   4.74  15211    1.0
outl_loglike[144]   3.81  8.1e-3   0.95   1.84   3.63   3.99   4.26   4.75  13818    1.0
outl_loglike[145]   3.85  6.0e-3   0.79   2.05   3.66    4.0   4.26   4.74  17388    1.0
outl_loglike[146]   4.24  1.9e-3    0.3   3.69   4.03   4.23   4.44   4.87  25821    1.0
outl_loglike[147]   3.79  8.6e-3   1.03   1.69   3.61   3.99   4.26   4.74  14108    1.0
outl_loglike[148]   4.13  2.2e-3   0.37   3.33   3.92   4.14   4.37   4.81  27678    1.0
outl_loglike[149]   3.55    0.01   1.67   0.93   3.46   3.86   4.14   4.63  12988    1.0
outl_loglike[150]   3.73    0.01   1.21   1.47   3.58   3.95   4.23   4.71  10731    1.0
outl_loglike[151]   3.35  7.4e-3   0.85   1.44   3.16   3.51   3.78   4.28  13193    1.0
outl_loglike[152]   3.38  8.5e-3   0.95   1.34    3.2   3.56   3.83   4.33  12234    1.0
outl_loglike[153]   3.14  6.7e-3   0.86   1.07   2.95   3.31   3.59   4.09  16559    1.0
outl_loglike[154]   3.62  9.8e-3   1.16   1.36   3.47   3.85   4.13   4.62  13756    1.0
outl_loglike[155]   3.99  3.9e-3   0.55   2.59   3.78   4.07   4.32   4.79  20450    1.0
outl_loglike[156]   3.68    0.01   1.25   1.41   3.53   3.92   4.19   4.68  12721    1.0
outl_loglike[157]   4.15  2.4e-3   0.37   3.35   3.94   4.17   4.39   4.85  23651    1.0
outl_loglike[158]   3.78  9.8e-3   1.07   1.71   3.61   3.99   4.26   4.74  11965    1.0
outl_loglike[159]   3.59  9.6e-3   1.19   1.31   3.44   3.83    4.1    4.6  15183    1.0
outl_loglike[160]   3.88  4.1e-3   0.67   2.17   3.66   4.01   4.28   4.76  27092    1.0
outl_loglike[161]   3.48    0.02    1.9   0.13   3.42   3.87   4.16   4.64  14114    1.0
